x,y,y'
0.00100,0.00000,0.0060136053
0.00200,0.00000,0.0063894666
0.00300,0.00000,0.006799468
0.00400,0.00000,0.007241306
0.00500,0.00000,0.0077349273
0.00600,0.00000,0.00826736
0.00700,0.00000,0.00884315
0.00800,0.00000,0.009461939
0.00900,0.00000,0.010113755
0.01000,0.00000,0.0108083915
0.01100,0.00000,0.011553665
0.01200,0.00000,0.0123214945
0.01300,0.00000,0.0131124435
0.01400,0.00000,0.013940836
0.01500,0.00000,0.014811208
0.01600,0.00000,0.015728075
0.01700,0.00000,0.016673025
0.01800,0.00000,0.017624252
0.01900,0.00000,0.018578514
0.02000,0.00000,0.01953334
0.02100,0.00000,0.02048945
0.02200,0.00000,0.021446988
0.02300,0.00000,0.022405565
0.02400,0.00000,0.023365505
0.02500,0.00000,0.024325881
0.02600,0.00000,0.025286544
0.02700,0.00000,0.026247423
0.02800,0.00000,0.027208734
0.02900,0.00000,0.028170206
0.03000,0.00000,0.029131826
0.03100,0.00000,0.030093547
0.03200,0.00000,0.031055275
0.03300,0.00000,0.032016996
0.03400,0.00000,0.032978766
0.03500,0.00000,0.03394058
0.03600,0.00000,0.034902405
0.03700,0.00000,0.035864238
0.03800,0.00000,0.036826055
0.03900,0.00000,0.03778789
0.04000,0.00000,0.038749717
0.04100,0.00000,0.039711554
0.04200,0.00000,0.040673375
0.04300,0.00000,0.0416352
0.04400,0.00000,0.04259703
0.04500,0.00000,0.043558866
0.04600,0.00000,0.04452068
0.04700,0.00000,0.045482513
0.04800,0.00000,0.046444327
0.04900,0.00000,0.047406163
0.05000,0.09276,0.04836799
0.05100,0.09462,0.04932982
0.05200,0.09647,0.050291646
0.05300,0.09833,0.051253464
0.05400,0.10019,0.05221529
0.05500,0.10204,0.05317713
0.05600,0.10390,0.05413895
0.05700,0.10575,0.05510079
0.05800,0.10761,0.056062605
0.05900,0.10946,0.057024438
0.06000,0.11132,0.057986263
0.06100,0.11317,0.058948085
0.06200,0.11503,0.059909914
0.06300,0.11688,0.060871746
0.06400,0.11874,0.06183357
0.06500,0.12059,0.06279539
0.06600,0.12245,0.06375723
0.06700,0.12430,0.06471906
0.06800,0.12616,0.065680884
0.06900,0.12801,0.066642694
0.07000,0.12987,0.06760452
0.07100,0.13173,0.06856636
0.07200,0.13358,0.06952817
0.07300,0.13544,0.070489995
0.07400,0.13729,0.071451835
0.07500,0.13915,0.07241366
0.07600,0.14100,0.073375486
0.07700,0.14286,0.07433732
0.07800,0.14471,0.07529915
0.07900,0.14657,0.07626098
0.08000,0.14842,0.07722277
0.08100,0.15028,0.078184634
0.08200,0.15213,0.079146445
0.08300,0.15399,0.08010828
0.08400,0.15584,0.0810701
0.08500,0.15770,0.08203194
0.08600,0.15955,0.08299377
0.08700,0.16141,0.08395559
0.08800,0.16327,0.084917426
0.08900,0.16512,0.08587924
0.09000,0.16698,0.08684107
0.09100,0.16883,0.08780288
0.09200,0.17069,0.088764735
0.09300,0.17254,0.08972655
0.09400,0.17440,0.09068838
0.09500,0.17625,0.09165021
0.09600,0.17811,0.09261203
0.09700,0.17996,0.09357385
0.09800,0.18182,0.09453567
0.09900,0.09091,0.09549751
0.10000,0.09091,0.09645934
0.10100,0.09091,0.09742118
0.10200,0.09091,0.09838297
0.10300,0.09091,0.09934483
0.10400,0.09091,0.100306645
0.10500,0.09091,0.10126849
0.10600,0.09091,0.10223029
0.10700,0.09091,0.10319213
0.10800,0.09091,0.10415397
0.10900,0.09091,0.105115786
0.11000,0.09091,0.10607759
0.11100,0.09091,0.10703943
0.11200,0.09091,0.10800124
0.11300,0.09091,0.10896309
0.11400,0.09091,0.10992492
0.11500,0.09091,0.11088673
0.11600,0.09091,0.111848556
0.11700,0.09091,0.11281042
0.11800,0.09091,0.113772236
0.11900,0.09091,0.11473404
0.12000,0.09091,0.11569589
0.12100,0.09091,0.11665768
0.12200,0.09091,0.117619544
0.12300,0.09091,0.11858136
0.12400,0.09091,0.1195432
0.12500,0.09091,0.12050502
0.12600,0.09091,0.121466845
0.12700,0.09091,0.122428685
0.12800,0.09091,0.12339049
0.12900,0.09091,0.12435231
0.13000,0.09091,0.12531416
0.13100,0.09091,0.12627594
0.13200,0.09091,0.12723781
0.13300,0.09091,0.12819964
0.13400,0.09091,0.12916149
0.13500,0.09091,0.13012326
0.13600,0.09091,0.13108511
0.13700,0.09091,0.13204695
0.13800,0.09091,0.13300875
0.13900,0.09091,0.13397062
0.14000,0.09091,0.13493243
0.14100,0.09091,0.13589425
0.14200,0.09091,0.13685611
0.14300,0.09091,0.13781789
0.14400,0.09091,0.13877973
0.14500,0.09091,0.13974157
0.14600,0.09091,0.14070338
0.14700,0.09091,0.14166519
0.14800,0.18367,0.14262703
0.14900,0.18553,0.14358893
0.15000,0.18738,0.1445507
0.15100,0.18924,0.14551252
0.15200,0.19109,0.14647435
0.15300,0.19295,0.14743617
0.15400,0.19481,0.14839801
0.15500,0.19666,0.14935987
0.15600,0.19852,0.15032166
0.15700,0.20037,0.1512835
0.15800,0.20223,0.15224533
0.15900,0.20408,0.15320712
0.16000,0.20594,0.15416896
0.16100,0.20779,0.15513077
0.16200,0.20965,0.15609264
0.16300,0.21150,0.15705442
0.16400,0.21336,0.15801628
0.16500,0.21521,0.1589781
0.16600,0.21707,0.15993994
0.16700,0.21892,0.16090178
0.16800,0.22078,0.1618636
0.16900,0.22263,0.16282547
0.17000,0.22449,0.16378725
0.17100,0.22635,0.16474907
0.17200,0.22820,0.16571088
0.17300,0.23006,0.16667268
0.17400,0.23191,0.16763452
0.17500,0.23377,0.16859634
0.17600,0.23562,0.16955815
0.17700,0.23748,0.17052004
0.17800,0.23933,0.17148188
0.17900,0.24119,0.17244372
0.18000,0.24304,0.1734055
0.18100,0.24490,0.17436731
0.18200,0.24675,0.17532918
0.18300,0.24861,0.17629094
0.18400,0.25046,0.17725284
0.18500,0.25232,0.17821464
0.18600,0.25417,0.17917645
0.18700,0.25603,0.18013829
0.18800,0.25788,0.1811001
0.18900,0.25974,0.18206196
0.19000,0.26160,0.18302378
0.19100,0.26345,0.18398565
0.19200,0.26531,0.18494745
0.19300,0.26716,0.18590933
0.19400,0.26902,0.18687111
0.19500,0.27087,0.18783285
0.19600,0.27273,0.18879473
0.19700,0.18182,0.18975657
0.19800,0.18182,0.19071838
0.19900,0.18182,0.19168021
0.20000,0.18182,0.19264206
0.20100,0.18182,0.19360389
0.20200,0.18182,0.19456571
0.20300,0.18182,0.19552755
0.20400,0.18182,0.19648936
0.20500,0.18182,0.19745117
0.20600,0.18182,0.19841301
0.20700,0.18182,0.19937485
0.20800,0.18182,0.20033662
0.20900,0.18182,0.2012985
0.21000,0.18182,0.20226035
0.21100,0.18182,0.20322216
0.21200,0.18182,0.2041839
0.21300,0.18182,0.20514575
0.21400,0.18182,0.2061076
0.21500,0.18182,0.20706946
0.21600,0.18182,0.20803127
0.21700,0.18182,0.20899312
0.21800,0.18182,0.20995498
0.21900,0.18182,0.21091679
0.22000,0.18182,0.21187857
0.22100,0.18182,0.21284041
0.22200,0.18182,0.21380225
0.22300,0.18182,0.21476409
0.22400,0.18182,0.2157259
0.22500,0.18182,0.21668768
0.22600,0.18182,0.21764955
0.22700,0.18182,0.21861136
0.22800,0.18182,0.2195732
0.22900,0.18182,0.22053507
0.23000,0.18182,0.22149688
0.23100,0.18182,0.22245869
0.23200,0.18182,0.22342055
0.23300,0.18182,0.22438234
0.23400,0.18182,0.22534415
0.23500,0.18182,0.22630599
0.23600,0.18182,0.22726782
0.23700,0.18182,0.22822972
0.23800,0.18182,0.22919153
0.23900,0.18182,0.23015326
0.24000,0.18182,0.23111519
0.24100,0.18182,0.23207696
0.24200,0.18182,0.2330388
0.24300,0.18182,0.23400065
0.24400,0.18182,0.23496243
0.24500,0.18182,0.23592426
0.24600,0.27458,0.23688611
0.24700,0.27644,0.23784795
0.24800,0.27829,0.2388097
0.24900,0.28015,0.23977157
0.25000,0.28200,0.24073341
0.25100,0.28386,0.24169526
0.25200,0.28571,0.24265704
0.25300,0.28757,0.24361888
0.25400,0.28942,0.24458073
0.25500,0.29128,0.24554257
0.25600,0.29314,0.2465044
0.25700,0.29499,0.24746613
0.25800,0.29685,0.24842797
0.25900,0.29870,0.24938983
0.26000,0.30056,0.25035167
0.26100,0.30241,0.25131348
0.26200,0.30427,0.25227532
0.26300,0.30612,0.25323722
0.26400,0.30798,0.25419897
0.26500,0.30983,0.2551608
0.26600,0.31169,0.2561226
0.26700,0.31354,0.2570845
0.26800,0.31540,0.2580463
0.26900,0.31725,0.25900814
0.27000,0.31911,0.25996992
0.27100,0.32096,0.26093176
0.27200,0.32282,0.26189366
0.27300,0.32468,0.26285544
0.27400,0.32653,0.26381722
0.27500,0.32839,0.26477912
0.27600,0.33024,0.26574093
0.27700,0.33210,0.26670274
0.27800,0.33395,0.26766452
0.27900,0.33581,0.26862642
0.28000,0.33766,0.2695882
0.28100,0.33952,0.27055004
0.28200,0.34137,0.27151188
0.28300,0.34323,0.27247372
0.28400,0.34508,0.27343574
0.28500,0.34694,0.27439764
0.28600,0.34879,0.2753595
0.28700,0.35065,0.27632144
0.28800,0.35250,0.27728325
0.28900,0.35436,0.27824524
0.29000,0.35622,0.27920708
0.29100,0.35807,0.28016907
0.29200,0.35993,0.281131
0.29300,0.36178,0.28209287
0.29400,0.36364,0.2830548
0.29500,0.27273,0.28401664
0.29600,0.27273,0.2849787
0.29700,0.27273,0.28594047
0.29800,0.27273,0.28690246
0.29900,0.27273,0.2878643
0.30000,0.27273,0.28882623
0.30100,0.27273,0.28978813
0.30200,0.27273,0.29075006
0.30300,0.27273,0.29171196
0.30400,0.27273,0.2926738
0.30500,0.27273,0.29363587
0.30600,0.27273,0.2945977
0.30700,0.27273,0.29555967
0.30800,0.27273,0.29652157
0.30900,0.27273,0.29748344
0.31000,0.27273,0.29844525
0.31100,0.27273,0.29940718
0.31200,0.27273,0.30036917
0.31300,0.27273,0.30133113
0.31400,0.27273,0.30229297
0.31500,0.27273,0.30325487
0.31600,0.27273,0.30421677
0.31700,0.27273,0.3051788
0.31800,0.27273,0.30614063
0.31900,0.27273,0.30710253
0.32000,0.27273,0.30806443
0.32100,0.27273,0.30902645
0.32200,0.27273,0.30998826
0.32300,0.27273,0.3109502
0.32400,0.27273,0.31191215
0.32500,0.27273,0.31287393
0.32600,0.27273,0.3138359
0.32700,0.27273,0.31479776
0.32800,0.27273,0.31575963
0.32900,0.27273,0.31672153
0.33000,0.27273,0.31768358
0.33100,0.27273,0.3186455
0.33200,0.27273,0.31960738
0.33300,0.27273,0.32056937
0.33400,0.27273,0.32153115
0.33500,0.27273,0.32249436
0.33600,0.27273,0.32345775
0.33700,0.27273,0.32442102
0.33800,0.27273,0.32538435
0.33900,0.27273,0.32634768
0.34000,0.27273,0.32731095
0.34100,0.27273,0.32827595
0.34200,0.27273,0.3292416
0.34300,0.27273,0.3302074
0.34400,0.36549,0.33117476
0.34500,0.36735,0.33214226
0.34600,0.36920,0.33310965
0.34700,0.37106,0.3340771
0.34800,0.37291,0.33504453
0.34900,0.37477,0.336012
0.35000,0.37662,0.3369799
0.35100,0.37848,0.33794835
0.35200,0.38033,0.33891675
0.35300,0.38219,0.33988515
0.35400,0.38404,0.3408536
0.35500,0.38590,0.34182194
0.35600,0.38776,0.3427904
0.35700,0.38961,0.3437588
0.35800,0.39147,0.34472772
0.35900,0.39332,0.3456979
0.36000,0.39518,0.3466681
0.36100,0.39703,0.3476382
0.36200,0.39889,0.3486084
0.36300,0.40074,0.34957924
0.36400,0.40260,0.3505513
0.36500,0.40445,0.35152325
0.36600,0.40631,0.35249525
0.36700,0.40816,0.35346726
0.36800,0.41002,0.35443917
0.36900,0.41187,0.35541123
0.37000,0.41373,0.35638317
0.37100,0.41558,0.35735562
0.37200,0.41744,0.35832858
0.37300,0.41929,0.35930163
0.37400,0.42115,0.36027452
0.37500,0.42301,0.3612475
0.37600,0.42486,0.36222044
0.37700,0.42672,0.36319348
0.37800,0.42857,0.3641664
0.37900,0.43043,0.3651394
0.38000,0.43228,0.36611232
0.38100,0.43414,0.3670853
0.38200,0.43599,0.36805823
0.38300,0.43785,0.3690312
0.38400,0.43970,0.3700042
0.38500,0.44156,0.37097725
0.38600,0.44341,0.371951
0.38700,0.44527,0.37292498
0.38800,0.44712,0.37389883
0.38900,0.44898,0.3748727
0.39000,0.45083,0.37584662
0.39100,0.45269,0.37682042
0.39200,0.45455,0.37779436
0.39300,0.36364,0.37876827
0.39400,0.36364,0.37974215
0.39500,0.36364,0.38071647
0.39600,0.36364,0.38169083
0.39700,0.36364,0.3826652
0.39800,0.36364,0.3836394
0.39900,0.36364,0.38461372
0.40000,0.36364,0.38558808
0.40100,0.36364,0.38656238
0.40200,0.36364,0.38753667
0.40300,0.36364,0.38851103
0.40400,0.36364,0.38948524
0.40500,0.36364,0.39045957
0.40600,0.36364,0.39143375
0.40700,0.36364,0.39240822
0.40800,0.36364,0.39338246
0.40900,0.36364,0.3943568
0.41000,0.36364,0.3953311
0.41100,0.36364,0.39630532
0.41200,0.36364,0.39727965
0.41300,0.36364,0.3982541
0.41400,0.36364,0.3992283
0.41500,0.36364,0.4002026
0.41600,0.36364,0.401177
0.41700,0.36364,0.40215123
0.41800,0.36364,0.40312564
0.41900,0.36364,0.40409985
0.42000,0.36364,0.4050741
0.42100,0.36364,0.4060485
0.42200,0.36364,0.40702268
0.42300,0.36364,0.40799713
0.42400,0.36364,0.4089713
0.42500,0.36364,0.4099457
0.42600,0.36364,0.41092083
0.42700,0.36364,0.4118964
0.42800,0.36364,0.4128719
0.42900,0.36364,0.41384724
0.43000,0.36364,0.41482273
0.43100,0.36364,0.4157983
0.43200,0.36364,0.4167737
0.43300,0.36364,0.4177492
0.43400,0.36364,0.41872472
0.43500,0.36364,0.41970024
0.43600,0.36364,0.42067572
0.43700,0.36364,0.42165112
0.43800,0.36364,0.4226267
0.43900,0.36364,0.4236022
0.44000,0.36364,0.42457768
0.44100,0.36364,0.42555305
0.44200,0.45640,0.42652854
0.44300,0.45826,0.42750397
0.44400,0.46011,0.4284795
0.44500,0.46197,0.42945498
0.44600,0.46382,0.4304305
0.44700,0.46568,0.431406
0.44800,0.46753,0.43238148
0.44900,0.46939,0.4333569
0.45000,0.47124,0.43433237
0.45100,0.47310,0.4353079
0.45200,0.47495,0.4362834
0.45300,0.47681,0.4372588
0.45400,0.47866,0.4382343
0.45500,0.48052,0.43920973
0.45600,0.48237,0.44018516
0.45700,0.48423,0.44116077
0.45800,0.48609,0.44213626
0.45900,0.48794,0.44311172
0.46000,0.48980,0.44408724
0.46100,0.49165,0.4450628
0.46200,0.49351,0.44603825
0.46300,0.49536,0.4470137
0.46400,0.49722,0.4479892
0.46500,0.49907,0.44896463
0.46600,0.50093,0.44994
0.46700,0.50278,0.4509156
0.46800,0.50464,0.45189103
0.46900,0.50649,0.45286658
0.47000,0.50835,0.453842
0.47100,0.51020,0.45481756
0.47200,0.51206,0.45579293
0.47300,0.51391,0.45676857
0.47400,0.51577,0.45774403
0.47500,0.51763,0.45871946
0.47600,0.51948,0.459695
0.47700,0.52134,0.46067035
