x,y,y'
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\0.csv,.54545,0.54866606
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\1.csv,.54545,0.54900914
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\2.csv,.54545,0.5490832
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\3.csv,.54545,0.5488803
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\4.csv,.54545,0.54888034
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\5.csv,.54545,0.5489871
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\6.csv,.54545,0.5492905
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\7.csv,.54545,0.5490857
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\8.csv,.54545,0.54881036
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\9.csv,.54545,0.5488875
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\10.csv,.54545,0.54856044
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\11.csv,.54545,0.54826
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\12.csv,.54545,0.54800975
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\13.csv,.54545,0.5487282
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\14.csv,.54545,0.54822415
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\15.csv,.54545,0.54794747
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\16.csv,.54545,0.5479905
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\17.csv,.54545,0.54773986
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\18.csv,.54545,0.5476012
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\19.csv,.54545,0.5475041
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\20.csv,.54545,0.5483539
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\21.csv,.54545,0.5483366
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\22.csv,.54545,0.5491213
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\23.csv,.54545,0.5495691
